stock_id,name,market,industry,isin,listed_date,is_emerging
6825.TWO,和暢科技,興櫃,電腦及週邊設備業,TW0006825003,2021/04/29,1
6826.TWO,和淞,興櫃,其他電子業,TW0006826001,2021/06/17,1
6827.TWO,巨生醫,興櫃,生技醫療業,TW0006827009,2021/10/19,1
6829.TWO,千附精密,上櫃,半導體業,TW0006829005,2022/03/11,0
6830.TW,汎銓,上市,其他電子業,TW0006830003,2022/08/31,0
6831.TW,邁科,上市,電腦及週邊設備業,TW0006831001,2025/11/25,0
6832.TWO,金鼎科,興櫃,其他業,TW0006832009,2021/09/29,1
6833.TWO,太康精密,興櫃,電子零組件業,TW0006833007,2021/06/01,1
6834.TW,天二科技,上市,電子零組件業,TW0006834005,2022/09/01,0
6835.TW,圓裕,上市,電子零組件業,TW0006835002,2022/11/10,0
6838.TW,台新藥,上市,生技醫療業,TW0006838006,2024/08/13,0
6839.TWO,開陽能源,興櫃,綠能環保,TW0006839004,2021/10/25,1
6840.TWO,東研信超,上櫃,其他電子業,TW0006840002,2023/03/24,0
6841.TWO,長佳智能,上櫃,生技醫療業,TW0006841000,2023/03/01,0
6842.TWO,瑞宇,興櫃,半導體業,TW0006842008,2021/09/30,1
6843.TWO,進典,上櫃,電機機械,TW0006843006,2022/11/21,0
6844.TWO,諾貝兒,上櫃,生技醫療業,TW0006844004,2024/03/08,0
6846.TWO,綠茵,上櫃,食品工業,TW0006846009,2023/05/15,0
6847.TWO,普瑞博,興櫃,生技醫療業,TW0006847007,2021/11/05,1
6848.TWO,拉法醫,興櫃,生技醫療業,TW0006848005,2021/10/25,1
6849.TWO,奇鼎科技,興櫃,其他電子業,TW0006849003,2024/11/22,1
6850.TWO,光鼎生技,興櫃,生技醫療業,TW0006850001,2021/11/10,1
6854.TW,錼創科技-KY創,上市,半導體業,KYG7148D1025,2022/08/18,0
6855.TWO,數泓科,上櫃,其他電子業,TW0006855000,2022/10/06,0
6856.TWO,鑫傳,上櫃,文化創意業,TW0006856008,2023/10/27,0
6857.TWO,宏碁智醫,興櫃,生技醫療業,TW0006857006,2022/03/03,1
6858.TWO,愛比科技,興櫃,電腦及週邊設備業,TW0006858004,2022/01/11,1
6859.TWO,伯特光,上櫃,光電業,TW0006859002,2022/11/28,0
6861.TW,睿生光電,上市,生技醫療業,TW0006861008,2023/03/27,0
6862.TW,三集瑞-KY,上市,電子零組件業,KYG9066C1087,2024/10/23,0
